Agency Name,Year,Attendance,Rescues - Total,Rescue - Rip,Rescue - Surf,Rescue - Swift,Rescues - Scuba,Rescue - Cliff,Boat Rescues - Rescues,Boat Rescues - Passengers,Boat Rescues - Value,Boat Assists - Rescues,Boat Assists - Passengers,Boat Assists - Value,Prevents,Medical Aids - Total,Medical Aids - Major,Medical Aids - Minor,Drowning Deaths (Unguarded) - Total,Drowning Deaths (Unguarded) - Rip,Drowning Deaths (Unguarded) - Surf,Drowning Deaths (Unguarded) - Scuba,Drowning Deaths (Unguarded) - Drop-Off,Drowning Deaths (Unguarded) - Alc/Drugs,Drowning Deaths (Unguarded) - Ability,Drowning Deaths (Unguarded) - Floatation,Drowning Deaths (Unguarded) - Other,Drowning Deaths (Guarded) - Total,Drowning Deaths (Guarded) - Rip,Drowning Deaths (Guarded) - Surf,Drowning Deaths (Guarded) - Scuba,Drowning Deaths (Guarded) - Drop-Off,Drowning Deaths (Guarded) - Alc/Drugs,Drowning Deaths (Guarded) - Ability,Drowning Deaths (Guarded) - Floatation,Drowning Deaths (Guarded) - Other,Other Fatalities,Enforcements - Warnings,Enforcements - Boat/PWC,Enforcements - Citations,Enforcements - Arrests,Lost/Found,Public Education - Lectures,Public Education - Students,Demographics - Miles Guarded,Demographics - Miles Not Guarded,Demographics - Full-Time Employees,Demographics - Part-Time Employees,Demographics - Jr. Guards,Demographics - Agency Water Is,Demographics - Agency Coverage,Demographics - Avg. Weekday Towers Staffed,Demographics - Avg. Weekend Towers Staffed,Demographics - Avg. Distance Between Tower (yards),Demographics - # Rescue Vehicles,Demographics - Boat < 15,Demographics - Boat 15+,Demographics - PWC,Demographics - Non Motorized Rescue Craft
San Diego,1985,99921090,2471,0,0,0,0,0,91,275,1300000,0,0,0,0,2963,2963,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,380,40,12200,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1983,78899604,12428,0,0,0,0,0,1912,0,0,0,0,0,429640,12663,12663,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2012,77757074,7819,0,35,0,0,0,774,546,112000,229,274,390350,926145,16887,3241,13646,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,426596,6237,0,0,1487,86,1997,6.1,3.6,7,120,0,1,1,13,13,150,7,1,0,2,0
Los Angeles County Lifeguards - Beach,1982,75942029,8637,0,0,0,0,0,2080,0,0,0,0,0,262281,12137,12137,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2014,75905868,15930,0,79,0,0,0,176,431,1691500,88,165,2680650,1301229,19228,4141,15087,2,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,8,507582,1462,11,1,1684,3,118,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1981,74040395,13829,0,0,0,0,0,2039,0,22123900,0,0,0,7275,11906,11906,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2013,73375651,9870,0,125,0,0,4,427,382,37272600,192,109,577800,1139525,16549,3302,13247,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,0,15,414621,5448,0,0,12,0,0,70,0,150,650,3500,1,1,110,135,500,55,3,9,14,75
Los Angeles County Lifeguards - Beach,2015,73358235,15937,0,20,0,0,0,1359,13,550000,80,111,722500,1687290,69,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782823,4221,0,0,11,3,95,1,0,2,50,100,1,1,5,5,200,2,0,2,1,0
Los Angeles County Lifeguards - Beach,1984,71545355,12503,0,0,0,0,0,767,2685,27100000,0,0,0,487929,10071,10071,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3117,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2009,70428888,12775,0,88,0,1,0,712,491,261100,394,311,534700,1983166,16121,3180,12941,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,462508,692,9,43,1631,129,15900,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1980,64939417,10176,0,0,0,0,0,2228,0,29384150,0,0,0,6795,11446,11446,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2649,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2017,64571123,9905,0,39,0,0,0,387,377,12451635,123,73,35600,1083260,16722,618,16104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,453326,6257,937,0,1197,664,4175,88,0,176,757,4567,0,0,173,196,250,69,8,13,16,70
Los Angeles County Lifeguards - Beach,2011,62967614,8393,0,41,0,17,0,588,380,73648000,360,272,470400,958228,15345,2897,12448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400157,2807,0,0,9,73,9425,6.1,3.6,7,111,0,1,1,13,13,150,7,1,0,0,0
Los Angeles County Lifeguards - Beach,1990,62440208,11953,0,0,0,0,0,1555,600,23816800,0,0,0,521850,8995,8995,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2241,256,102198,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2008,61388149,12414,3,129,0,0,1,766,344,31444298,357,464,33088600,1145331,15186,3435,11751,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,374110,5749,9,0,1422,758,59496,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1989,60606119,9175,0,0,0,0,0,1258,586,18594700,0,0,0,444085,8568,8568,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1899,62,800,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1977,60011564,6656,0,0,0,0,0,2177,0,0,0,0,0,129759,9340,9340,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1985,59837466,7502,0,0,0,0,0,1022,2999,26400000,0,0,0,400768,9821,9821,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1992,59784697,11738,0,0,0,0,0,1317,0,23792805,0,628,0,14824,9463,9463,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,4,54781,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1988,59765797,4970,0,0,0,0,0,1410,3427,25461650,0,0,0,351221,8003,8003,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,50,5000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1998,58570780,13739,0,0,0,0,0,996,444,18090750,280,420,3600000,799372,171,29,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233206,801,0,0,1510,160,127255,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2016,57706343,12956,0,0,0,0,0,497,391,116700,196,77,122100,1050960,16230,558,15672,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,12,418577,5450,0,0,1183,2,145,6,0,5,220,159,1,1,13,13,150,5,2,2,2,0
Los Angeles County Lifeguards - Beach,2010,57546840,7041,0,11,0,1,0,581,40,24012600,327,83,277200,909328,15680,2972,12708,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,398269,36,0,0,957,4,160,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1979,57533818,8904,0,0,0,0,0,1846,0,0,0,0,0,0,10516,10516,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2018,57398659,11283,0,0,0,0,0,436,273,27519181,157,162,40,1265745,45580,30460,15120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,530405,7364,477,0,1078,186,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1976,57215567,9265,0,0,0,0,0,2153,0,0,0,0,0,142745,10223,10223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1993,56575781,10470,0,0,0,0,0,924,64,15284120,0,0,0,504290,8188,8188,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,167,39701,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1987,55893551,7063,0,0,0,0,0,839,0,0,0,0,0,417079,7887,7887,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1996,55810754,11446,0,0,0,0,0,957,80,10644150,7649,447,1940500,648050,1051,868,183,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,213265,0,0,0,1652,49,27115,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1978,55769888,11081,0,0,0,0,0,1990,0,0,0,0,0,146984,10116,10116,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2000,55617319,11815,0,0,0,0,0,1053,331,13654702,142,210,410000,860487,219,14,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,274448,5856,0,0,1576,281,44385,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1997,55274714,14101,0,0,0,0,0,1141,91,25209753,7985,275,1693059,760264,10790,10393,397,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,253268,175,0,0,1832,240,253000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1999,55122840,9560,0,0,0,0,0,1092,0,16378222,472,0,0,710349,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230941,4760,0,0,1470,82,40000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1974,53601866,6054,0,0,0,0,0,1587,0,10058950,0,0,0,61873,8506,8506,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Palm Beach County Ocean Rescue,2019,52896422,154,86,29,39,0,0,15,44,0,29,9,0,106506,16054,109,15945,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,93,0,0,0,10,22,2445,2.9,0,66,42,null,0,0,18,22,0,16,0,3,2,4
Los Angeles County Lifeguards - Beach,1986,52073091,6732,0,0,0,0,0,2744,8348,23538070,0,0,0,391247,9095,9095,0,22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2021,51957868,9292,0,0,0,0,0,500,435,38259100,265,207,0,898543,13322,448,12874,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,4363,0,0,634,0,0,72,0,210,650,4300,0,0,45,70,350,90,0,7,10,0
Los Angeles County Lifeguards - Beach,2007,51559609,10331,0,94,0,0,2,975,158,41243500,156,284,392900,961968,13081,12921,160,6,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,347311,4872,0,0,6183,1968,157785,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2003,51348093,10689,0,0,0,0,0,858,45,14806664,124,374,520120,900256,71,12,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1994,51219739,8561,0,0,0,0,0,923,450,11667648,0,0,0,477506,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,103,30268,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2001,51006008,8141,0,0,0,0,0,897,56,15798701,4842,122,233511,746686,12895,12809,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248652,3390,0,0,1501,126,52500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2019,50697049,10057,0,10057,0,79,0,0,227,16131845,139,0,0,1064768,14849,463,14386,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,430048,3310,0,0,758,115,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2004,49311551,11194,0,0,0,0,0,992,49,25756802,4598,414,620120,893592,16945,16926,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,291438,0,0,0,1358,19,54000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1975,49222470,5972,0,0,0,0,0,1481,0,14778600,0,0,0,91945,9340,9340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
